Year,Month,Day,Hour,latitude,longitute,longitude,qa_value,nitrogendioxide_tropospheric_column,nitrogendioxide_tropospheric_column_precision,nitrogendioxide_tropospheric_column_precision_kernel,air_mass_factor_troposphere,air_mass_factor_total,tm5_tropopause_layer_index
2021.0,9.0,16.0,12.0,51.00006103515625,13.446889,13.44688892364502,0.00739999992996454,7.583654223708436e-05,3.4023945772787556e-05,3.0456225431407802e-05,0.6474966406822205,1.396966576576233,16.0
2021.0,9.0,16.0,12.0,51.00612258911133,13.508408,13.508407592773438,0.00739999992996454,7.084018579917029e-05,3.5146382288075984e-05,3.216418917872943e-05,0.6338260769844055,1.38944673538208,16.0
2021.0,9.0,16.0,12.0,51.012149810791016,13.570231,13.570231437683105,0.00739999992996454,7.295054820133373e-05,2.8479464162955992e-05,2.445830250508152e-05,0.7354850769042969,1.4562370777130127,16.0
2021.0,9.0,16.0,12.0,51.01813507080078,13.63236,13.632360458374023,0.00739999992996454,7.172245386755094e-05,2.8598355129361153e-05,2.4740684239077382e-05,0.7613081932067871,1.4757565259933472,16.0
2021.0,9.0,16.0,12.0,51.024085998535156,13.694803,13.694803237915039,0.00739999992996454,6.920838495716453e-05,3.254995681345463e-05,2.9460272344294935e-05,0.6958578824996948,1.4383100271224976,16.0
2021.0,9.0,16.0,12.0,51.030006408691406,13.757565,13.757564544677734,0.00739999992996454,7.093459134921432e-05,3.464580368017778e-05,3.160796040901914e-05,0.6864256262779236,1.4359649419784546,16.0
2021.0,9.0,16.0,12.0,51.03588104248047,13.820648,13.820648193359375,0.00739999992996454,6.873756501590833e-05,3.342450872878544e-05,3.0466435418929905e-05,0.7076115608215332,1.4526526927947998,16.0
2021.0,9.0,16.0,12.0,51.041725158691406,13.884063,13.884062767028809,0.00739999992996454,6.775951624149457e-05,2.8797945560654625e-05,2.5409990485059097e-05,0.7497901320457458,1.4825166463851929,16.0
2021.0,9.0,16.0,12.0,51.005313873291016,13.006579,13.006579399108887,0.00739999992996454,5.4605119657935575e-05,2.5375804398208857e-05,2.290551674377639e-05,0.7283346652984619,1.4537043571472168,16.0
2021.0,9.0,16.0,12.0,51.011627197265625,13.066182,13.066182136535645,0.00739999992996454,5.8089804952032864e-05,2.611885247461032e-05,2.339267848583404e-05,0.7122002243995667,1.4424030780792236,16.0
2021.0,9.0,16.0,12.0,51.01789855957031,13.126054,13.126053810119629,0.00739999992996454,7.317741255974397e-05,3.6378478398546576e-05,3.330459730932489e-05,0.6402925848960876,1.3971303701400757,16.0
2021.0,9.0,16.0,12.0,51.024139404296875,13.186198,13.186198234558105,0.00739999992996454,6.0217862483114004e-05,3.165346060995944e-05,2.9272749088704586e-05,0.63620924949646,1.3954662084579468,16.0
2021.0,9.0,16.0,12.0,51.03034591674805,13.246621,13.246621131896973,0.00739999992996454,6.730806489940733e-05,2.8435943022486754e-05,2.5047711460501887e-05,0.6981757283210754,1.434931755065918,16.0
2021.0,9.0,16.0,12.0,51.036521911621094,13.307327,13.307327270507812,0.00739999992996454,6.862752343295142e-05,2.7974954718956724e-05,2.4376395231229253e-05,0.7386931777000427,1.4605998992919922,16.0
2021.0,9.0,16.0,12.0,51.04265213012695,13.3683195,13.368319511413574,0.00739999992996454,8.991445065476e-05,4.121355232200585e-05,3.708331860252656e-05,0.6150441765785217,1.3844244480133057,16.0
2021.0,9.0,16.0,12.0,51.04875183105469,13.429608,13.429608345031738,0.00739999992996454,0.00010341559391235933,3.8060243241488934e-05,3.1949817639542744e-05,0.544755220413208,1.3415271043777466,16.0
2021.0,9.0,16.0,12.0,51.05481719970703,13.491191,13.491190910339355,0.00739999992996454,9.73572168732062e-05,3.733617268153466e-05,3.185675086569972e-05,0.5322660207748413,1.3347588777542114,16.0
2021.0,9.0,16.0,12.0,51.060848236083984,13.55308,13.553079605102539,0.00739999992996454,8.264963253168389e-05,4.0887240174924955e-05,3.739689782378264e-05,0.6346491575241089,1.4020966291427612,16.0
2021.0,9.0,16.0,12.0,51.06684875488281,13.615273,13.615273475646973,0.00739999992996454,6.491901876870543e-05,2.847589712473564e-05,2.534359009587206e-05,0.7607581615447998,1.484425663948059,16.0
2021.0,9.0,16.0,12.0,51.072792053222656,13.677781,13.677781105041504,0.00739999992996454,7.154203922254965e-05,3.191504583810456e-05,2.8527872927952558e-05,0.7676830291748047,1.492033839225769,16.0
2021.0,9.0,16.0,12.0,51.078712463378906,13.740609,13.740609169006348,0.00739999992996454,7.662001735297963e-05,3.4292039345018566e-05,3.0677663744427264e-05,0.7624660134315491,1.4921847581863403,16.0
2021.0,9.0,16.0,12.0,51.0845947265625,13.803759,13.80375862121582,0.00739999992996454,6.380327249644324e-05,2.7657362807076424e-05,2.453763227094896e-05,0.7887787818908691,1.512039065361023,16.0
2021.0,9.0,16.0,12.0,51.09043884277344,13.867238,13.86723804473877,0.00739999992996454,5.8743651607073843e-05,2.4692255465197377e-05,2.1718075004173443e-05,0.7894430756568909,1.5154587030410767,16.0
2021.0,9.0,16.0,12.0,51.002281188964844,12.5206785,12.520678520202637,0.00739999992996454,7.174997153924778e-05,3.54671647073701e-05,3.243450919399038e-05,0.6964142918586731,1.4328999519348145,16.0
2021.0,9.0,16.0,12.0,51.00886535644531,12.578349,12.578349113464355,0.00739999992996454,7.009278488112614e-05,6.745629070792347e-05,6.598357140319422e-05,0.8913702368736267,1.5553160905838013,16.0
2021.0,9.0,16.0,12.0,51.01541519165039,12.636253,12.636253356933594,0.00739999992996454,5.059505929239094e-05,5.432629768620245e-05,5.337557377060875e-05,1.1333054304122925,1.7073830366134644,16.0
2021.0,9.0,16.0,12.0,51.02193069458008,12.694396,12.694396018981934,0.00739999992996454,5.076247180113569e-05,5.337424954632297e-05,5.239978418103419e-05,1.1928504705429077,1.746418833732605,16.0
2021.0,9.0,16.0,12.0,51.02841567993164,12.752784,12.75278377532959,0.00739999992996454,5.124785820953548e-05,5.7112800277536735e-05,5.618556679110043e-05,1.1255149841308594,1.7055145502090454,16.0
2021.0,9.0,16.0,12.0,51.03487014770508,12.811417,12.811416625976562,0.00739999992996454,4.393354902276769e-05,4.800240640179254e-05,4.7191366320475936e-05,1.1387619972229004,1.7140650749206543,16.0
2021.0,9.0,16.0,12.0,51.04128646850586,12.870301,12.870301246643066,0.00739999992996454,6.721257523167878e-05,6.11999785178341e-05,5.970540951238945e-05,0.8387681841850281,1.5279603004455566,16.0
2021.0,9.0,16.0,12.0,51.04766845703125,12.92944,12.929439544677734,0.00739999992996454,7.147793076001108e-05,3.301177639514208e-05,2.975589995912742e-05,0.6867314577102661,1.4345375299453735,16.0
